igre,disciplina,poddisciplina,mesto,ime,drzava,rezultat
Pyeongchang 2018,alpine skiing,mens alpine combined,1,Marcel Hirscher,AUT,2:06.52
Pyeongchang 2018,alpine skiing,mens alpine combined,2,Alexis Pinturault,FRA,2:06.75
Pyeongchang 2018,alpine skiing,mens alpine combined,3,Victor Muffat Jeandet 1,FRA,2:07.54
Pyeongchang 2018,alpine skiing,mens alpine combined,4,Marco Schwarz,AUT,2:07.87
Pyeongchang 2018,alpine skiing,mens alpine combined,5,Ted Ligety,USA,2:07.97
Pyeongchang 2018,alpine skiing,mens alpine combined,6,Thomas Mermillod Blondin,FRA,2:08.02
Pyeongchang 2018,alpine skiing,mens alpine combined,7,Kjetil Jansrud,NOR,2:08.67
Pyeongchang 2018,alpine skiing,mens alpine combined,8,Stefan Hadalin,SLO,2:08.94
Pyeongchang 2018,alpine skiing,mens alpine combined,9,Thomas Dressen,GER,2:08.96
Pyeongchang 2018,alpine skiing,mens alpine combined,10,Klemen Kosi,SLO,2:09.37
Pyeongchang 2018,alpine skiing,mens alpine combined,11,Luca Aerni,SUI,2:09.52
Pyeongchang 2018,alpine skiing,mens alpine combined,12,Filip Zubcic,CRO,2:09.60
Pyeongchang 2018,alpine skiing,mens alpine combined,14,Christof Innerhofer,ITA,2:09.75
Pyeongchang 2018,alpine skiing,mens alpine combined,15,Carlo Janka,SUI,2:09.80
Pyeongchang 2018,alpine skiing,mens alpine combined,16,Ondrej Berndt,CZE,2:09.91
Pyeongchang 2018,alpine skiing,mens alpine combined,17,Bryce Bennett,USA,2:09.97
Pyeongchang 2018,alpine skiing,mens alpine combined,18,Riccardo Tonetti,ITA,2:10.21
Pyeongchang 2018,alpine skiing,mens alpine combined,19,Natko Zrncic Dim,CRO,2:10.55
Pyeongchang 2018,alpine skiing,mens alpine combined,20,James Crawford 1,CAN,2:10.77
Pyeongchang 2018,alpine skiing,mens alpine combined,21,Aleksander Aamodt Kilde,NOR,2:11.07
Pyeongchang 2018,alpine skiing,mens alpine combined,22,Adam Zampa,SVK,2:11.10
Pyeongchang 2018,alpine skiing,mens alpine combined,23,Broderick Thompson,CAN,2:11.38
Pyeongchang 2018,alpine skiing,mens alpine combined,24,Andreas Romar,FIN,2:11.52
Pyeongchang 2018,alpine skiing,mens alpine combined,25,Marko Vukicevic,SRB,2:11.74
Pyeongchang 2018,alpine skiing,mens alpine combined,26,Kristaps Zvejnieks,LAT,2:11.76
Pyeongchang 2018,alpine skiing,mens alpine combined,27,Joan Verdu Sanchez,AND,2:12.54
Pyeongchang 2018,alpine skiing,mens alpine combined,28,Olivier Jenot,MON,2:13.44
Pyeongchang 2018,alpine skiing,mens alpine combined,29,Marc Oliveras,AND,2:14.64
Pyeongchang 2018,alpine skiing,mens alpine combined,30,Christoffer Faarup,DEN,2:15.21
Pyeongchang 2018,alpine skiing,mens alpine combined,31,Igor Zakurdaev,KAZ,2:15.47
Pyeongchang 2018,alpine skiing,mens alpine combined,32,Dalibor Samsal 1,HUN,2:15.94
Pyeongchang 2018,alpine skiing,mens alpine combined,33,Dong Woo Kim 1,KOR,2:17.04
Pyeongchang 2018,alpine skiing,mens alpine combined,34,Yuri Danilochkin,BLR,2:18.72
Pyeongchang 2018,alpine skiing,mens alpine combined,35,Marton Kekesi,HUN,2:20.02
Pyeongchang 2018,alpine skiing,mens alpine combined,36,Jared Goldberg,USA,2:22.88
Pyeongchang 2018,alpine skiing,mens alpine combined,37,Albin Tahiri,KOS,2:23.40
Pyeongchang 2018,alpine skiing,mens downhill,1,Aksel Lund Svindal,NOR,1:40.25
Pyeongchang 2018,alpine skiing,mens downhill,2,Kjetil Jansrud,NOR,1:40.37
Pyeongchang 2018,alpine skiing,mens downhill,3,Beat Feuz,SUI,1:40.43
Pyeongchang 2018,alpine skiing,mens downhill,4,Dominik Paris,ITA,1:40.79
Pyeongchang 2018,alpine skiing,mens downhill,5,Thomas Dressen,GER,1:41.03
Pyeongchang 2018,alpine skiing,mens downhill,6,Peter Fill,ITA,1:41.08
Pyeongchang 2018,alpine skiing,mens downhill,7,Vincent Kriechmayr,AUT,1:41.19
Pyeongchang 2018,alpine skiing,mens downhill,8,Brice Roger,FRA,1:41.39
Pyeongchang 2018,alpine skiing,mens downhill,9,Matthias Mayer,AUT,1:41.46
Pyeongchang 2018,alpine skiing,mens downhill,10,Andreas Sander,GER,1:41.62
Pyeongchang 2018,alpine skiing,mens downhill,11,Max Franz,AUT,1:41.75
Pyeongchang 2018,alpine skiing,mens downhill,12,Hannes Reichelt,AUT,1:41.76
Pyeongchang 2018,alpine skiing,mens downhill,13,Mauro Caviezel,SUI,1:41.86
Pyeongchang 2018,alpine skiing,mens downhill,14,Manuel Osborne Paradis 1,CAN,1:41.89
Pyeongchang 2018,alpine skiing,mens downhill,15,Aleksander Aamodt Kilde,NOR,1:42.18
Pyeongchang 2018,alpine skiing,mens downhill,16,Bryce Bennett,USA,1:42.22
Pyeongchang 2018,alpine skiing,mens downhill,17,Christof Innerhofer,ITA,1:42.23
Pyeongchang 2018,alpine skiing,mens downhill,18,Johan Clarey,FRA,1:42.39
Pyeongchang 2018,alpine skiing,mens downhill,19,Martin Cater,SLO,1:42.53
Pyeongchang 2018,alpine skiing,mens downhill,20,Jared Goldberg,USA,1:42.59
Pyeongchang 2018,alpine skiing,mens downhill,21,Marc Gisin,SUI,1:42.82
Pyeongchang 2018,alpine skiing,mens downhill,22,Emanuele Buzzi,ITA,1:42.84
Pyeongchang 2018,alpine skiing,mens downhill,23,Maxence Muzaton,FRA,1:42.96
Pyeongchang 2018,alpine skiing,mens downhill,25,Josef Ferstl 1,GER,1:42.98
Pyeongchang 2018,alpine skiing,mens downhill,26,Adrien Theaux,FRA,1:42.99
Pyeongchang 2018,alpine skiing,mens downhill,27,Bostjan Kline,SLO,1:43.03
Pyeongchang 2018,alpine skiing,mens downhill,28,Benjamin Thomsen,CAN,1:43.19
Pyeongchang 2018,alpine skiing,mens downhill,29,Miha Hrobat,SLO,1:43.61
Pyeongchang 2018,alpine skiing,mens downhill,30,Wiley Maple,USA,1:43.72
Pyeongchang 2018,alpine skiing,mens downhill,31,Andreas Romar,FIN,1:43.78
Pyeongchang 2018,alpine skiing,mens downhill,32,Dustin Cook 1,CAN,1:43.80
Pyeongchang 2018,alpine skiing,mens downhill,33,Gilles Roulin,SUI,1:43.88
Pyeongchang 2018,alpine skiing,mens downhill,34,Henrik Von Appen,CHI,1:44.02
Pyeongchang 2018,alpine skiing,mens downhill,35,Broderick Thompson,CAN,1:44.37
Pyeongchang 2018,alpine skiing,mens downhill,36,Christoffer Faarup,DEN,1:44.48
Pyeongchang 2018,alpine skiing,mens downhill,37,Joan Verdu Sanchez,AND,1:44.65
Pyeongchang 2018,alpine skiing,mens downhill,38,Filip Forejtek,CZE,1:44.79
Pyeongchang 2018,alpine skiing,mens downhill,39,Igor Zakurdaev,KAZ,1:45.01
Pyeongchang 2018,alpine skiing,mens downhill,40,Christopher Hoerl,MDA,1:45.21
Pyeongchang 2018,alpine skiing,mens downhill,41,Marko Vukicevic,SRB,1:45.36
Pyeongchang 2018,alpine skiing,mens downhill,42,Michal Klusak,POL,1:45.42
Pyeongchang 2018,alpine skiing,mens downhill,43,Marco Pfiffner,LIE,1:45.61
Pyeongchang 2018,alpine skiing,mens downhill,44,Yuri Danilochkin,BLR,1:45.86
Pyeongchang 2018,alpine skiing,mens downhill,45,Jan Hudec,CZE,1:46.42
Pyeongchang 2018,alpine skiing,mens downhill,46,Jan Zabystran,CZE,1:46.60
Pyeongchang 2018,alpine skiing,mens downhill,47,Simon Breitfuss Kammerlander,BOL,1:47.87
Pyeongchang 2018,alpine skiing,mens downhill,48,Dong Woo Kim 1,KOR,1:47.99
Pyeongchang 2018,alpine skiing,mens downhill,49,Ivan Kovbasnyuk,UKR,1:48.57
Pyeongchang 2018,alpine skiing,mens downhill,50,Albin Tahiri,KOS,1:48.81
Pyeongchang 2018,alpine skiing,mens downhill,51,Marko Stevovic,SRB,1:49.50
Pyeongchang 2018,alpine skiing,mens downhill,52,Patrick Mc Millan,IRL,1:49.98
Pyeongchang 2018,alpine skiing,mens downhill,53,Marton Kekesi,HUN,1:51.72
Pyeongchang 2018,alpine skiing,mens giant slalom,1,Marcel Hirscher,AUT,2:18.04
Pyeongchang 2018,alpine skiing,mens giant slalom,2,Henrik Kristoffersen,NOR,2:19.31
Pyeongchang 2018,alpine skiing,mens giant slalom,3,Alexis Pinturault,FRA,2:19.35
Pyeongchang 2018,alpine skiing,mens giant slalom,4,Zan Kranjec,SLO,2:19.77
Pyeongchang 2018,alpine skiing,mens giant slalom,5,Thomas Fanara,FRA,2:19.83
Pyeongchang 2018,alpine skiing,mens giant slalom,6,Victor Muffat Jeandet 1,FRA,2:19.85
Pyeongchang 2018,alpine skiing,mens giant slalom,7,Mathieu Faivre,FRA,2:19.99
Pyeongchang 2018,alpine skiing,mens giant slalom,8,Leif Kristian Nestvold Haugen,NOR,2:20.23
Pyeongchang 2018,alpine skiing,mens giant slalom,9,Loic Meillard,SUI,2:20.45
Pyeongchang 2018,alpine skiing,mens giant slalom,10,Matts Olsson,SWE,2:20.70
Pyeongchang 2018,alpine skiing,mens giant slalom,11,Erik Read,CAN,2:20.74
