ime,datum
Bibiana Perez,31.10.1970
Myung Su Chang,06.03.1956
Oleg Pavlov,26.11.1966
Lars Funke,28.01.1972
Christoph Bieler,28.10.1977
Mae Berenice Meite,21.09.1994
Nina Evteeva,24.11.1982
Muhammad Karim,01.05.1995
Magnar Lundemo,04.03.1938
Wei Chin Shieh,26.09.1956
Markus Fahndrich,24.03.1960
Kestutis Bulota,
Tally Monastyriov,01.11.1939
Ludovic Mathieu,25.09.1976
Laura Deas,19.08.1988
Hana Nesvadbova,05.03.1944
Raphaelle Monod,18.01.1969
Emanuel Sandhu,18.11.1980
Christopher Delbosco,30.03.1982
Nolan Kasper,27.03.1989
Lucile Lefevre,10.11.1995
Yoshinobu Murase,03.03.1957
Elena Muratova,12.12.1986
Vivi Anne Hulten,25.08.1911
Andi Langenhan,01.10.1984
Fenglong Wu,04.08.1977
Rudie Liebrechts,06.09.1941
Sue Holloway,19.05.1955
Elena Epuran,15.11.1931
Martina Dubovska,27.02.1992
Filip Forejtek,03.11.1997
Catherine Quittet,22.01.1964
Yulia Kharkivska,14.09.1976
Igor Spiric,22.06.1971
Paride Milianti,21.08.1934
Aurel Foiciuc,12.07.1967
Jenny Owens,17.05.1978
Ilio Colli,30.05.1931
Michael Ireland,03.01.1974
Seung Hi Park,28.03.1992
Ivett Szollosi,22.12.1982
Michael Kunzel,24.05.1973
Nikolay Kruglov 1,08.04.1981
Roger Westling,17.12.1961
Seth Wescott,28.06.1976
Kurt Brugger,17.03.1969
Naoki Shimura,17.11.1941
Pierre Emmanuel Dalcin,15.02.1977
Ion Sumedrea,15.04.1925
Kirk Allen,03.05.1971
Kimmo Koskinen,11.03.1948
Benjamin Mace,16.05.1989
Maria Ntanou,03.03.1990
Taku Hiraoka,29.10.1995
Christophe Roux,27.07.1983
Yevgeniya Voloshenko,03.04.1979
Anna Maria Nilsson,13.05.1983
Rajko Lotric,20.08.1962
Barbara Petzold,08.08.1955
Romed Baumann,14.01.1986
Ferdinand Dahl,17.07.1998
Bruce Lindsay Grant,10.12.1963
Metka Munih,23.04.1959
Ramon Blanco Aladro,06.02.1925
Tamara Teglassy,29.09.1968
Sara Hector,04.09.1992
Vincent Zhou,25.10.2000
Robert Merkulov,09.08.1931
Karl Buhl,21.01.1940
Nathalie Santer,28.03.1972
Philip Hardy,05.07.1954
Yuxia Hou,20.05.1979
Tomas Globocnik,17.04.1972
Diane Ogle,29.12.1965
Evgeniy Garanichev,13.02.1988
Konrad Pecher,13.12.1930
Vaclav Korunka,24.12.1965
Jesper Modin,04.06.1988
Gui Ping Ren,02.04.1960
Max Rauffer,08.05.1972
Li Song,10.03.1981
Ida Njaatun,06.02.1991
Susumu Sugiyama,10.04.1932
Jenna Mccorkell,15.09.1986
Stefan Kaltschuetz,12.01.1978
Byron Wells,03.04.1992
Evi Mittermaier,16.02.1953
Carlos Varas,14.09.1970
Frank Stack,01.01.1906
Judi Leinweber,13.06.1950
Gro Marit Kristiansen,09.02.1978
Andri Ragettli,21.08.1998
Gabriela Quijano,11.04.1975
Vladimir Klepinin,02.08.1971
Kauri Koiv,25.07.1983
Anna Olofsson,17.09.1981
Suzanne Morrow,14.12.1930
Rusty Smith,27.08.1979
Alex Insam,19.12.1997
Mihaela Dascalu,12.02.1970
Raphael Poiree,09.08.1974
Marija Trmcic,20.10.1986
Gheorghe Berdar,26.03.1961
Dominik Baldauf,23.04.1992
Per Olof Brogren,17.04.1939
Tsuyoshi Tomii,03.08.1971
Jin Hae Kim,09.04.1962
Peik Christensen,14.05.1952
Paulina Maciuszek,02.09.1985
Kaspar Fluetsch,20.06.1986
Pierre Harvey,24.03.1957
Lisa Odynski,29.12.1974
Francisca Steverlynck,08.04.1974
Min Sun Kim,16.06.1999
Victor H Figueroa,29.08.1956
Christoph Lehmann,28.12.1968
Cristian Stanciu,29.12.1973
Tuula Vilkas,18.05.1950
Cesare Chiogna,
Yvonne Kunze,05.01.1978
Hedy Stenuf,18.07.1922
Peter Pappenheim,19.12.1926
Juha Haukkala,28.06.1978
Kevin Wert,10.03.1975
Sergey Novikov,27.04.1979
Henrik Fagerli Rukke,20.10.1996
Gabriela Soukalova,01.11.1989
Craig Mcnicoll,11.04.1971
Oystein Slettemark,20.08.1967
Michael Edwards,05.12.1963
Josette Neviere,08.04.1933
Bjarne Strand,08.11.1946
John Boyagis,26.01.1928
Christine Von Gruningen,25.03.1964
